old_url,new_url,status,notes
/convert-chat-ai-autobot/,/guides/convert-chat-ai-autobot,301,migrated article
/top-10-reasons-to-visit-sioux-falls-south-dakotas-hidden-gem/,/guides/top-10-reasons-sioux-falls-should-be-on-your-must-visit-list,301,migrated article
/local-legends-the-heartbeat-of-sioux-falls/,/guides/local-legends-the-heartbeat-of-sioux-falls,301,migrated article
/the-best-free-things-to-do-in-sioux-falls/,/guides/the-best-free-things-to-do-in-sioux-falls,301,migrated article
/three-unmatched-benefits-of-sioux-falls-go-direct-mail-postcards/,/guides/unlock-massive-reach-with-sioux-falls-go-direct-mail-postcards,301,migrated article
/sioux-falls-spotlight-postcard/,/guides/shine-bright-with-the-sioux-falls-go-postcard,301,migrated article
/turn-your-sioux-falls-spotlight-postcard-into-a-power-sales-machine/,/guides/turn-the-sioux-falls-go-postcard-into-a-power-sales-machine,301,migrated article
/top-10-lawn-care-services-in-sioux-falls/,/guides/top-10-lawn-care-services-in-sioux-falls-for-spring-2025,301,migrated article
/two-paths-to-local-market-dominance-with-sioux-falls-go/,/guides/two-paths-to-local-market-dominance-with-sioux-falls-go,301,migrated article
/how-to-shop-local-the-siouxfallsgo-way/,/guides/how-to-shop-local-and-make-every-dollar-count,301,migrated article
/what-is-sioux-falls-go-and-why-it-matters/,/guides/what-is-sioux-falls-go-and-why-it-matters,301,migrated article
/top-residential-cleaning-services-in-sioux-falls/,/guides/top-10-residential-cleaning-services-in-sioux-falls-summer-2025,301,migrated article
/pest-control-companies-in-sioux-falls/,/guides/top-10-pest-control-companies-in-sioux-falls-summer-2025,301,migrated article
/top-garage-door-services-in-sioux-falls/,/guides/top-10-garage-door-services-in-sioux-falls,301,migrated article
/top-10-handyman-services-in-sioux-falls-summer-2025-edition/,/guides/top-10-handyman-services-in-sioux-falls-summer-2025-edition,301,migrated article
/top-home-inspectors-in-sioux-falls/,/guides/sioux-falls-most-trusted-home-inspectors-top-10-picks-for-summer-2025,301,migrated article
/top-plumbers-in-sioux-falls/,/guides/top-10-plumbers-in-sioux-falls-summer-2025-edition,301,migrated article
/top-landscaping-companies-sioux-falls/,/guides/top-10-landscaping-companies-in-sioux-falls-2025,301,migrated article
/roadmap/,/guides/sioux-falls-go-roadmap,301,migrated article
/breakthrough-opportunity/,/guides/breakthrough-opportunity-incoming-dont-miss-out,301,migrated article
/how-sioux-falls-go-is-changing-the-way-locals-support-local/,/guides/how-sioux-falls-go-is-changing-the-way-locals-support-local,301,migrated article
/sajmedia-marketing-sioux-falls/,/guides/sajmedia-marketing-grow-with-visibility-authority-optimize-onboarding-process,301,migrated article
/how-getting-featured-on-sioux-falls-go-works/,/guides/how-getting-featured-on-sioux-falls-go-works-for-business-owners,301,migrated article
/sioux-falls-pest-control-faq/,/guides/pest-control-faqs-for-sioux-falls-and-surrounding-areas,301,migrated article
/sioux-falls-plumbing-faq/,/guides/what-sioux-falls-homeowners-really-want-to-know-about-plumbing,301,migrated article
/sioux-falls-hvac-faq/,/guides/sioux-falls-hvac-faq-heating-air-conditioning-questions-answered,301,migrated article
/community-spotlight-sioux-falls-flooring/,/guides/community-spotlight-siouxfallsflooring-com-helping-homeowners-make-confident-flo,301,migrated article
/how-sioux-falls-go-supports-local-businesses/,/guides/how-sioux-falls-go-supports-local-businesses,301,migrated article
/how-sioux-falls-go-gets-your-business-in-front-of-customers/,/guides/how-does-sioux-falls-go-get-my-business-in-front-of-customers,301,migrated article
/emergency-tree-removal-sioux-falls/,/guides/emergency-tree-removal-in-sioux-falls-storm-damage-and-24-7-service,301,migrated article
/professional-tree-care-sioux-falls-complete-guide/,/guides/complete-guide-to-professional-tree-care-in-sioux-falls,301,migrated article
/tree-trimming-cost-sioux-falls-2025/,/guides/how-much-does-tree-trimming-cost-in-sioux-falls-in-2025,301,migrated article
/when-tree-needs-removal-south-dakota-signs/,/guides/how-to-know-when-a-tree-needs-to-come-down-in-south-dakota,301,migrated article
/tree-falls-on-house-sioux-falls-emergency-steps/,/guides/what-to-do-when-a-tree-falls-on-your-house-in-sioux-falls,301,migrated article
/prepare-trees-south-dakota-winter-ice-storms/,/guides/preparing-your-trees-for-south-dakota-winter-and-ice-storms,301,migrated article
/places/la-luna-cafe/,/businesses/la-luna-cafe,301,migrated business listing
/places/security-national-bank-of-south-dakota/,/businesses/security-national-bank-of-south-dakota,301,migrated business listing
/places/dakota-elite-flooring/,/businesses/dakota-elite-flooring,301,migrated business listing
/places/american-tree-service/,/businesses/american-tree-service,301,migrated business listing
/places/t-j-vance-quality-cleaning/,/businesses/t-j-vance-quality-cleaning,301,migrated business listing
/places/thorson-construction/,/businesses/thorson-construction,301,migrated business listing
/places/positive-painting/,/businesses/positive-painting,301,migrated business listing
/places/while-away/,/businesses/while-away,301,migrated business listing
/places/sajmedia-marketing/,/businesses/sajmedia-marketing,301,migrated business listing
/places/the-appliance-doc/,/businesses/the-appliance-doc,301,migrated business listing
/places/roberts-property-care/,/businesses/robert-s-property-care,301,migrated business listing
/places/sioux-empire-shine/,/businesses/sioux-empire-shine,301,migrated business listing
/places/daniel-brunz-realtor/,/businesses/daniel-brunz-realtor,301,migrated business listing
/places/jurrens-plumbing/,/businesses/jurrens-plumbing,301,migrated business listing
/places/animalwisedco/,/businesses/animalwisedco,301,migrated business listing
/places/605-drain-solutions/,/businesses/605-drain-solutions,301,migrated business listing
/places/redstone-electric/,/businesses/redstone-electric,301,migrated business listing
/contact-2/,/contact,301,migrated page
/sioux-falls-top-picks/,/sioux-falls-top-picks-trusted-local-businesses-by-category-2,301,migrated page
/category/appliance-repair-service/,/appliance-repair-service,301,category archive
/category/cleaning-services/,/cleaning-services,301,category archive
/category/coffee-shops/,/coffee-shops,301,category archive
/category/consumer-guide/,/consumer-guide,301,category archive
/category/electricians/,/electricians,301,category archive
/category/flooring/,/flooring,301,category archive
/category/for-local-businesses/,/for-local-businesses,301,category archive
/category/for-locals/,/for-locals,301,category archive
/category/grow-with-sioux-falls-go/,/grow-with-sfg,301,category archive
/category/home-services/,/home-services,301,category archive
/category/home-watch-services/,/home-watch-services,301,category archive
/category/lawn-care/,/lawn-care,301,category archive
/category/local-spotlights/,/local-spotlights,301,category archive
/category/local-tree-services/,/local-tree-services,301,category archive
/category/marketing-agencies/,/marketing-agencies,301,category archive
/category/marketing-tips-insights/,/marketing-tips-insights,301,category archive
/category/painters/,/painters,301,category archive
/category/plumber/,/plumbers,301,category archive
/category/plumbing/,/plumbers,301,category archive
/category/professional-services/,/professional-services,301,category archive
/category/real-estate-agents/,/real-estate-agents,301,category archive
/category/restaurants-dining/,/restaurants-dining,301,category archive
/category/shopping-retail/,/shopping-retail,301,category archive
/category/window-cleaning/,/window-cleaning,301,category archive
/category/community-spotlight/,/community-spotlight,301,category archive
